tax_id	scientificName	Order	Diet	Massg	high_hfp_extent_suitable	high_hfp_extent_unsuitable	GISfrag_suitable	Percentage_change_suitable	Percentage_change_unsuitable	mean_distance_unsuitable	proportion_suitable	proportion_unsuitable	trans9617
18	Abrocoma boliviensis	Rodentia	herbivore	158		100			0	1426.852324	0	100	1
137	Acerodon celebensis	Chiroptera	herbivore	390	99.88970245	98.45697437	939.2464609	0.095979887	0.031233924	873.089575	68.0248969	31.9751031	1
138	Acerodon humilis	Chiroptera	herbivore	599.6	100	100	631.5509741	0	0	463.8974104	60.40690365	39.59309635	1
139	Acerodon jubatus	Chiroptera	herbivore	1075	94.20528135	94.97821245	739.9877253	1.133827231	0.813588353	632.6286315	63.35018992	36.64981008	1
140	Acerodon leucotis	Chiroptera	herbivore	513.2	97.00452148	99.38053097	726.7089749	1.573120994	0.474918373	813.7065055	43.57032344	56.42967656	1
142	Acerodon mackloti	Chiroptera	herbivore	470.3	99.83698349	99.71645684	604.8505307	0.11358796	0.197907188	2145.33393	39.28212299	60.71787701	1
219	Acinonyx jubatus	Carnivora	carnivore	46700	59.13915495	87.15379101	28433.16649	3.020773689	1.961721379	950.2444549	85.97545107	14.02454893	1
263	Acomys cahirinus	Rodentia	omnivore	52.5	37.55855086	15.88356777	21159.61112	3.119094062	0.382276281	6401.448638	73.95063278	26.04936722	0
265	Acomys cineraceus	Rodentia	carnivore	20.3	95.9672615	97.53450687	2337.243369	1.729841186	1.264529133	4572.554014	44.98563459	55.01436541	0
266	Acomys ignitus	Rodentia	omnivore	24	71.82540774	92.5750054	1722.215954	2.959984683	0.480298438	9093.01474	34.19500606	65.80499394	0
267	Acomys kempi	Rodentia	omnivore	22	80.03311828	91.97809383	2420.190057	3.858617669	2.100851149	4513.610721	40.57296924	59.42703076	0
268	Acomys louisae	Rodentia	omnivore	20.2	95.85047301	95.24371874	2185.631905	1.485079734	1.790238462	24073.15445	29.35108213	70.64891787	0
